"Moving Violations",,
"Manhattan South",,
" January ",,
pbmssum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",9,9
"Brake Lights (Defect.or Improper)",83,83
"Bus Lane, Driving in",13,13
"Cell Phone",790,790
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Steady Red Signal",601,601
"Disobey Traffic Control Device",1777,1777
"Equipment (Other)",21,21
"Fail to Keep Right",2,2
"Fail to Signal",301,301
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",104,104
"Improper Lights",0,0
"Improper Passing",18,18
"Improper Turn",1495,1495
"Improper/Missing Plates",57,57
"Not Giving R of W to Pedes.",581,581
"Not Giving R of W to Veh.",10,10
"OBSTRUCTED PLATE",16,16
"One Way Street",48,48
"Pavement Markings",118,118
"Safety Belt",380,380
"School Bus, Passing Stopped",1,1
Speeding,168,168
Spillback,97,97
"Tinted Windows",312,312
"Truck Routes",17,17
U-Turn,78,78
Uninspected,17,17
Uninsured,95,95
"Unlicensed Operator",216,216
Unregistered,53,53
"Unsafe Lane Change",132,132
"Other Movers",508,508
"PBMSTOTAL Movers ",8121,8121
,,
"* All figures are preliminary and subject to change.",,
