"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",17,38
"Bus Lane, Driving in",0,0
"Cell Phone",47,82
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,16
"Disobey Steady Red Signal",76,127
"Disobey Traffic Control Device",347,708
"Equipment (Other)",7,9
"Fail to Keep Right",0,0
"Fail to Signal",54,110
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",11,23
"Improper Lights",0,1
"Improper Passing",1,3
"Improper Turn",9,20
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",10,19
"Not Giving R of W to Veh.",1,1
"OBSTRUCTED PLATE",1,1
"One Way Street",0,3
"Pavement Markings",7,7
"Safety Belt",77,176
"School Bus, Passing Stopped",10,11
Speeding,11,26
Spillback,0,0
"Tinted Windows",95,254
"Truck Routes",13,14
U-Turn,0,0
Uninspected,0,0
Uninsured,43,107
"Unlicensed Operator",87,178
Unregistered,9,27
"Unsafe Lane Change",2,2
"Other Movers",69,114
"TOTAL Movers",1005,2079
"Moving Violations",,
"83rd Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
