"Moving Violations",,
"Central Park Precinct",,
"   April ",,
022sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,12
"Bus Lane, Driving in",0,0
"Cell Phone",6,40
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",31,136
"Disobey Traffic Control Device",32,113
"Equipment (Other)",7,37
"Fail to Keep Right",0,0
"Fail to Signal",2,13
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",1,12
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",199,679
"Improper/Missing Plates",1,6
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",66,113
"Not Giving R of W to Veh.",0,0
"OBSTRUCTED PLATE",2,4
"One Way Street",0,1
"Pavement Markings",0,1
"Safety Belt",6,31
"School Bus, Passing Stopped",1,1
Speeding,49,119
Spillback,0,2
"Tinted Windows",40,135
"Truck Routes",0,1
U-Turn,1,3
Uninspected,0,14
Uninsured,55,160
"Unlicensed Operator",15,38
Unregistered,6,18
"Unsafe Lane Change",2,5
"Other Movers",18,62
"022TOTAL Movers ",541,1758
,,
"* All figures are preliminary and subject to change.",,
