"Moving Violations",,
"Midtown North Precinct",,
"     May ",,
018sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,11
"Brake Lights (Defect.or Improper)",9,122
"Bus Lane, Driving in",0,14
"Cell Phone",153,537
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",86,462
"Disobey Traffic Control Device",287,1654
"Equipment (Other)",0,30
"Fail to Keep Right",0,3
"Fail to Signal",17,100
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",16,113
"Improper Lights",0,1
"Improper Passing",0,2
"Improper Turn",160,800
"Improper/Missing Plates",8,57
"Lamps and Other Equipment on Bicycle",1,28
"Not Giving R of W to Pedes.",89,283
"Not Giving R of W to Veh.",1,3
"OBSTRUCTED PLATE",3,18
"One Way Street",6,48
"Pavement Markings",15,60
"Safety Belt",85,277
"School Bus, Passing Stopped",0,6
Speeding,4,119
Spillback,8,89
"Tinted Windows",39,341
"Truck Routes",0,0
U-Turn,0,0
Uninspected,2,5
Uninsured,25,78
"Unlicensed Operator",24,141
Unregistered,18,62
"Unsafe Lane Change",4,15
"Other Movers",47,260
"018TOTAL Movers ",1108,5739
,,
"* All figures are preliminary and subject to change.",,
