"Moving Violations",,
"43rd Precinct",,
"     May ",,
043sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,22
"Brake Lights (Defect.or Improper)",23,195
"Bus Lane, Driving in",0,0
"Cell Phone",87,328
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",36,186
"Disobey Traffic Control Device",181,788
"Equipment (Other)",5,27
"Fail to Keep Right",0,0
"Fail to Signal",20,248
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",34,216
"Improper Lights",0,0
"Improper Passing",4,31
"Improper Turn",86,499
"Improper/Missing Plates",7,74
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",50,354
"Not Giving R of W to Veh.",3,29
"OBSTRUCTED PLATE",6,46
"One Way Street",1,13
"Pavement Markings",18,82
"Safety Belt",163,383
"School Bus, Passing Stopped",3,44
Speeding,62,350
Spillback,0,4
"Tinted Windows",96,505
"Truck Routes",0,0
U-Turn,3,15
Uninspected,8,23
Uninsured,28,202
"Unlicensed Operator",105,532
Unregistered,42,185
"Unsafe Lane Change",43,273
"Other Movers",63,274
"043TOTAL Movers ",1178,5932
,,
"* All figures are preliminary and subject to change.",,
