"Moving Violations",,
"78th Precinct",,
"     May ",,
078sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,8
"Brake Lights (Defect.or Improper)",12,52
"Bus Lane, Driving in",0,1
"Cell Phone",118,484
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",77,430
"Disobey Traffic Control Device",228,814
"Equipment (Other)",7,26
"Fail to Keep Right",0,0
"Fail to Signal",11,71
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,19
"Improper Lights",0,0
"Improper Passing",4,7
"Improper Turn",50,151
"Improper/Missing Plates",3,9
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",42,260
"Not Giving R of W to Veh.",3,5
"OBSTRUCTED PLATE",8,28
"One Way Street",0,0
"Pavement Markings",10,36
"Safety Belt",144,369
"School Bus, Passing Stopped",1,16
Speeding,48,182
Spillback,0,0
"Tinted Windows",52,264
"Truck Routes",0,0
U-Turn,8,31
Uninspected,0,3
Uninsured,12,111
"Unlicensed Operator",37,138
Unregistered,9,48
"Unsafe Lane Change",3,6
"Other Movers",62,229
"078TOTAL Movers ",950,3798
,,
"* All figures are preliminary and subject to change.",,
