"Moving Violations",,
"103rd Precinct",,
"     May ",,
103sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",91,323
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Steady Red Signal",67,276
"Disobey Traffic Control Device",390,2005
"Equipment (Other)",0,0
"Fail to Keep Right",0,2
"Fail to Signal",19,70
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",2,31
"Improper Passing",0,0
"Improper Turn",148,653
"Improper/Missing Plates",1,7
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",101,441
"Not Giving R of W to Veh.",1,9
"OBSTRUCTED PLATE",0,0
"One Way Street",3,3
"Pavement Markings",9,19
"Safety Belt",109,399
"School Bus, Passing Stopped",2,11
Speeding,76,420
Spillback,1,3
"Tinted Windows",141,550
"Truck Routes",19,57
U-Turn,0,9
Uninspected,0,4
Uninsured,5,68
"Unlicensed Operator",110,539
Unregistered,6,29
"Unsafe Lane Change",0,0
"Other Movers",135,451
"103TOTAL Movers ",1438,6389
,,
"* All figures are preliminary and subject to change.",,
