"Moving Violations",,
"32nd Precinct",,
"    June ",,
032sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,10
"Brake Lights (Defect.or Improper)",2,27
"Bus Lane, Driving in",0,1
"Cell Phone",67,314
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",57,361
"Disobey Traffic Control Device",212,1546
"Equipment (Other)",2,10
"Fail to Keep Right",0,0
"Fail to Signal",5,57
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,30
"Improper Lights",0,0
"Improper Passing",5,10
"Improper Turn",61,652
"Improper/Missing Plates",1,18
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",59,398
"Not Giving R of W to Veh.",1,15
"OBSTRUCTED PLATE",1,32
"One Way Street",0,3
"Pavement Markings",85,719
"Safety Belt",46,162
"School Bus, Passing Stopped",2,21
Speeding,53,410
Spillback,0,2
"Tinted Windows",74,549
"Truck Routes",1,1
U-Turn,2,10
Uninspected,6,37
Uninsured,15,88
"Unlicensed Operator",39,294
Unregistered,10,74
"Unsafe Lane Change",1,12
"Other Movers",26,146
"032TOTAL Movers ",835,6010
,,
"* All figures are preliminary and subject to change.",,
