"Moving Violations",,
"103rd Precinct",,
"    June ",,
103sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,10
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",92,415
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",53,329
"Disobey Traffic Control Device",271,2276
"Equipment (Other)",0,0
"Fail to Keep Right",0,2
"Fail to Signal",9,79
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,8
"Improper Lights",0,31
"Improper Passing",0,0
"Improper Turn",78,731
"Improper/Missing Plates",0,7
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",53,494
"Not Giving R of W to Veh.",1,10
"OBSTRUCTED PLATE",0,0
"One Way Street",1,4
"Pavement Markings",14,33
"Safety Belt",101,500
"School Bus, Passing Stopped",3,14
Speeding,65,485
Spillback,1,4
"Tinted Windows",114,664
"Truck Routes",26,83
U-Turn,0,9
Uninspected,3,7
Uninsured,15,83
"Unlicensed Operator",104,643
Unregistered,3,32
"Unsafe Lane Change",0,0
"Other Movers",155,606
"103TOTAL Movers ",1171,7560
,,
"* All figures are preliminary and subject to change.",,
