"Moving Violations",,
"111th Precinct",,
"    June ",,
111sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",136,911
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",13,153
"Disobey Traffic Control Device",95,802
"Equipment (Other)",0,4
"Fail to Keep Right",0,0
"Fail to Signal",5,42
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",1,7
"Improper Lights",3,27
"Improper Passing",0,0
"Improper Turn",3,20
"Improper/Missing Plates",0,4
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",86,558
"Not Giving R of W to Veh.",0,1
"OBSTRUCTED PLATE",7,53
"One Way Street",0,3
"Pavement Markings",0,0
"Safety Belt",156,1179
"School Bus, Passing Stopped",2,28
Speeding,35,457
Spillback,0,0
"Tinted Windows",26,179
"Truck Routes",1,10
U-Turn,2,25
Uninspected,1,15
Uninsured,4,38
"Unlicensed Operator",42,336
Unregistered,2,19
"Unsafe Lane Change",0,20
"Other Movers",284,1307
"111TOTAL Movers ",904,6199
,,
"* All figures are preliminary and subject to change.",,
