"Moving Violations",,
"71st Precinct",,
"    July ",,
071sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,22
"Brake Lights (Defect.or Improper)",9,70
"Bus Lane, Driving in",2,33
"Cell Phone",176,1154
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",143,892
"Disobey Traffic Control Device",167,1428
"Equipment (Other)",9,57
"Fail to Keep Right",0,0
"Fail to Signal",19,164
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",11,50
"Improper Lights",0,5
"Improper Passing",2,50
"Improper Turn",19,262
"Improper/Missing Plates",5,33
"Lamps and Other Equipment on Bicycle",4,18
"Not Giving R of W to Pedes.",66,462
"Not Giving R of W to Veh.",11,59
"OBSTRUCTED PLATE",7,51
"One Way Street",0,1
"Pavement Markings",11,49
"Safety Belt",167,1029
"School Bus, Passing Stopped",0,37
Speeding,69,471
Spillback,1,17
"Tinted Windows",16,136
"Truck Routes",1,2
U-Turn,0,10
Uninspected,5,66
Uninsured,34,243
"Unlicensed Operator",73,514
Unregistered,19,102
"Unsafe Lane Change",1,7
"Other Movers",82,533
"071TOTAL Movers ",1130,8032
,,
"* All figures are preliminary and subject to change.",,
