"Moving Violations",,
"Manhattan North",,
"    July ",,
pbmnsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",9,94
"Brake Lights (Defect.or Improper)",48,506
"Bus Lane, Driving in",5,26
"Cell Phone",633,5902
"Commercial Veh on Pkwy",0,8
"Defective Brakes",1,5
"Disobey Steady Red Signal",888,6217
"Disobey Traffic Control Device",1641,13775
"Equipment (Other)",163,965
"Fail to Keep Right",3,19
"Fail to Signal",98,728
"Following Too Closely",2,12
"Headlights (Defect. or Improper)",45,410
"Improper Lights",3,23
"Improper Passing",15,120
"Improper Turn",1693,13157
"Improper/Missing Plates",27,267
"Lamps and Other Equipment on Bicycle",1,8
"Not Giving R of W to Pedes.",587,5954
"Not Giving R of W to Veh.",12,73
"OBSTRUCTED PLATE",51,443
"One Way Street",33,150
"Pavement Markings",187,1400
"Safety Belt",396,3586
"School Bus, Passing Stopped",6,240
Speeding,712,4813
Spillback,5,26
"Tinted Windows",234,2546
"Truck Routes",9,136
U-Turn,20,296
Uninspected,23,262
Uninsured,95,958
"Unlicensed Operator",285,2270
Unregistered,61,490
"Unsafe Lane Change",18,184
"Other Movers",400,3169
"PBMNTOTAL Movers ",8409,69238
,,
"* All figures are preliminary and subject to change.",,
