"Moving Violations",,
"Manhattan North",,
"  August ",,
pbmnsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",10,104
"Brake Lights (Defect.or Improper)",56,562
"Bus Lane, Driving in",2,28
"Cell Phone",727,6629
"Commercial Veh on Pkwy",0,8
"Defective Brakes",2,7
"Disobey Steady Red Signal",899,7116
"Disobey Traffic Control Device",2140,15915
"Equipment (Other)",199,1164
"Fail to Keep Right",1,20
"Fail to Signal",86,814
"Following Too Closely",0,12
"Headlights (Defect. or Improper)",28,438
"Improper Lights",2,25
"Improper Passing",11,131
"Improper Turn",1736,14893
"Improper/Missing Plates",35,302
"Lamps and Other Equipment on Bicycle",8,16
"Not Giving R of W to Pedes.",821,6775
"Not Giving R of W to Veh.",5,78
"OBSTRUCTED PLATE",44,487
"One Way Street",23,173
"Pavement Markings",176,1576
"Safety Belt",443,4029
"School Bus, Passing Stopped",2,242
Speeding,638,5451
Spillback,0,26
"Tinted Windows",248,2794
"Truck Routes",15,151
U-Turn,21,317
Uninspected,28,290
Uninsured,146,1104
"Unlicensed Operator",284,2554
Unregistered,71,561
"Unsafe Lane Change",15,199
"Other Movers",554,3723
"PBMNTOTAL Movers ",9476,78714
,,
"* All figures are preliminary and subject to change.",,
