"Moving Violations",,
"13th Precinct",,
September,,
013sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",0,12
"Bus Lane, Driving in",14,57
"Cell Phone",7,138
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",58,624
"Disobey Traffic Control Device",242,2002
"Equipment (Other)",0,2
"Fail to Keep Right",0,6
"Fail to Signal",4,57
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",0,5
"Improper Lights",0,1
"Improper Passing",1,13
"Improper Turn",161,1590
"Improper/Missing Plates",0,2
"Lamps and Other Equipment on Bicycle",2,2
"Not Giving R of W to Pedes.",17,391
"Not Giving R of W to Veh.",2,22
"OBSTRUCTED PLATE",1,19
"One Way Street",2,14
"Pavement Markings",0,97
"Safety Belt",4,57
"School Bus, Passing Stopped",0,5
Speeding,4,57
Spillback,21,316
"Tinted Windows",15,131
"Truck Routes",0,0
U-Turn,4,36
Uninspected,0,1
Uninsured,13,96
"Unlicensed Operator",5,91
Unregistered,4,31
"Unsafe Lane Change",7,33
"Other Movers",44,388
"013TOTAL Movers ",634,6302
,,
"* All figures are preliminary and subject to change.",,
