"Moving Violations",,
"69th Precinct",,
September,,
069sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,4
"Brake Lights (Defect.or Improper)",3,52
"Bus Lane, Driving in",0,0
"Cell Phone",72,756
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",27,238
"Disobey Traffic Control Device",73,1125
"Equipment (Other)",2,39
"Fail to Keep Right",0,0
"Fail to Signal",41,48
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",3,47
"Improper Lights",1,1
"Improper Passing",12,102
"Improper Turn",10,635
"Improper/Missing Plates",0,1
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",15,259
"Not Giving R of W to Veh.",0,7
"OBSTRUCTED PLATE",8,106
"One Way Street",3,9
"Pavement Markings",17,17
"Safety Belt",130,1101
"School Bus, Passing Stopped",1,19
Speeding,33,400
Spillback,0,1
"Tinted Windows",47,966
"Truck Routes",0,20
U-Turn,3,4
Uninspected,4,50
Uninsured,19,196
"Unlicensed Operator",33,383
Unregistered,7,130
"Unsafe Lane Change",0,2
"Other Movers",112,753
"069TOTAL Movers ",677,7472
,,
"* All figures are preliminary and subject to change.",,
