"Moving Violations",,
"68th Precinct",,
"October  ",,
068sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",0,9
"Bus Lane, Driving in",0,0
"Cell Phone",38,379
"Commercial Veh on Pkwy",10,75
"Defective Brakes",0,0
"Disobey Steady Red Signal",60,723
"Disobey Traffic Control Device",60,695
"Equipment (Other)",21,122
"Fail to Keep Right",0,0
"Fail to Signal",20,209
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",0,7
"Improper Lights",0,4
"Improper Passing",4,18
"Improper Turn",9,168
"Improper/Missing Plates",4,35
"Lamps and Other Equipment on Bicycle",0,1
"Not Giving R of W to Pedes.",49,521
"Not Giving R of W to Veh.",1,23
"OBSTRUCTED PLATE",3,22
"One Way Street",2,4
"Pavement Markings",24,123
"Safety Belt",51,599
"School Bus, Passing Stopped",0,14
Speeding,82,669
Spillback,0,6
"Tinted Windows",107,1002
"Truck Routes",11,120
U-Turn,3,25
Uninspected,0,4
Uninsured,36,284
"Unlicensed Operator",46,471
Unregistered,5,45
"Unsafe Lane Change",1,10
"Other Movers",53,528
"068TOTAL Movers ",701,6926
,,
"* All figures are preliminary and subject to change.",,
