"Moving Violations",,
"Patrol Bureau",,
"October  ",,
patrolsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",73,906
"Brake Lights (Defect.or Improper)",481,5883
"Bus Lane, Driving in",53,439
"Cell Phone",5965,59106
"Commercial Veh on Pkwy",23,206
"Defective Brakes",3,67
"Disobey Steady Red Signal",6255,55683
"Disobey Traffic Control Device",15126,143546
"Equipment (Other)",390,5066
"Fail to Keep Right",13,181
"Fail to Signal",1574,15280
"Following Too Closely",23,296
"Headlights (Defect. or Improper)",509,5540
"Improper Lights",127,1236
"Improper Passing",275,2557
"Improper Turn",6972,70298
"Improper/Missing Plates",307,3518
"Lamps and Other Equipment on Bicycle",86,541
"Not Giving R of W to Pedes.",4391,41622
"Not Giving R of W to Veh.",195,2035
"OBSTRUCTED PLATE",279,3971
"One Way Street",346,2875
"Pavement Markings",1412,9420
"Safety Belt",6030,61970
"School Bus, Passing Stopped",261,2179
Speeding,6770,53226
Spillback,94,1671
"Tinted Windows",4083,49260
"Truck Routes",207,1640
U-Turn,184,2203
Uninspected,201,2410
Uninsured,1439,16683
"Unlicensed Operator",4184,40958
Unregistered,825,8065
"Unsafe Lane Change",320,3416
"Other Movers",7029,57603
"PATROLTOTAL Movers ",76505,731556
,,
"* All figures are preliminary and subject to change.",,
