"Moving Violations",,
Bronx,,
"October  ",,
pbbxsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",14,204
"Brake Lights (Defect.or Improper)",197,2310
"Bus Lane, Driving in",28,113
"Cell Phone",781,7500
"Commercial Veh on Pkwy",6,43
"Defective Brakes",1,17
"Disobey Steady Red Signal",634,6101
"Disobey Traffic Control Device",2577,21548
"Equipment (Other)",20,401
"Fail to Keep Right",7,56
"Fail to Signal",226,1916
"Following Too Closely",3,53
"Headlights (Defect. or Improper)",220,2032
"Improper Lights",6,69
"Improper Passing",21,260
"Improper Turn",1237,11481
"Improper/Missing Plates",51,518
"Lamps and Other Equipment on Bicycle",0,12
"Not Giving R of W to Pedes.",583,5351
"Not Giving R of W to Veh.",23,355
"OBSTRUCTED PLATE",72,976
"One Way Street",33,186
"Pavement Markings",351,1519
"Safety Belt",734,7586
"School Bus, Passing Stopped",66,539
Speeding,1185,10511
Spillback,19,136
"Tinted Windows",1057,12857
"Truck Routes",20,162
U-Turn,46,314
Uninspected,33,404
Uninsured,412,4265
"Unlicensed Operator",804,7731
Unregistered,222,2251
"Unsafe Lane Change",52,709
"Other Movers",945,6860
"PBBXTOTAL Movers ",12686,117346
,,
"* All figures are preliminary and subject to change.",,
