109th Precinct,,
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),1,10
"Bus Lane, Driving in",0,1
Cell Phone,99,1342
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,76,812
Disobey Traffic Control Device,581,5450
Equipment (Other),7,213
Fail to Keep Right,2,13
Fail to Signal,33,233
Following Too Closely,0,2
Headlights (Defect. or Improper),2,8
Improper Lights,2,3
Improper Passing,6,84
Improper Turn,54,672
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Not Giving R of W to Pedes.,95,1108
Not Giving R of W to Veh.,29,125
OBSTRUCTED PLATE,11,86
One Way Street,6,13
Pavement Markings,46,113
Safety Belt,249,2405
"School Bus, Passing Stopped",6,45
Speeding,59,810
Spillback,1,11
Tinted Windows,69,842
Truck Routes,16,34
U-Turn,0,21
Uninspected,0,14
Uninsured,5,30
Unlicensed Operator,100,881
Unregistered,7,32
Unsafe Lane Change,0,16
Other Movers,157,1053
TOTAL Movers,1719,16491
