
"Housing Bureau",,
"December ",,
housingsum,,
"","",""
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",0,10
"Bus Lane, Driving in",0,0
"Cell Phone",0,3
"Commercial Veh on Pkwy",0,0
"Defective Brakes",3,9
"Disobey Steady Red Signal",1,26
"Disobey Traffic Control Device",0,11
"Equipment (Other)",0,7
"Fail to Keep Right",1,1
"Fail to Signal",1,16
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,17
"Improper Lights",3,12
"Improper Passing",0,2
"Improper Turn",1,3
"Improper/Missing Plates",1,6
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",0,0
"Not Giving R of W to Veh.",0,2
"OBSTRUCTED PLATE",0,2
"One Way Street",0,4
"Pavement Markings",1,2
"Safety Belt",0,5
"School Bus, Passing Stopped",0,2
Speeding,0,1
Spillback,0,0
"Tinted Windows",0,24
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,1
Uninsured,1,4
"Unlicensed Operator",2,41
Unregistered,0,7
"Unsafe Lane Change",0,3
"Other Movers",0,24
"HOUSINGTOTAL Movers ",18,246
"* Housing Bureau is a citywide unit whose activity is not tracked by Precinct.",,

