"Moving Violations",,
"Central Park Precinct",,
" January ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,0
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",2,2
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",31,31
"Driving Too Slow",0,0
Equipment,34,34
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",25,25
"Failure to Signal",5,5
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",66,66
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",1,1
"One Way Street",0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",41,41
"School Bus",0,0
"Scooter In NYC",0,0
"Seat Belt",22,22
Speeding,17,17
Spillback,0,0
"TBTA Rule",0,0
Tints,23,23
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,0
Uninsured,13,13
"Unlicensed Operator",5,5
Unregistered,3,3
"Unsafe Lane Change",0,0
"Other Movers",7,7
"022TOTAL Movers ",295,295
"* All figures are preliminary and subject to change.",,
