33rd Precinct,,
 January ,,
"","",""
Backing Unsafely,6,6
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,41,41
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,138,138
Driving Too Slow,0,0
Equipment,53,53
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,84,84
Failure to Signal,37,37
Following Too Closely,0,0
Improper Passing,2,2
Improper Taxi Pickup,0,0
Improper Turn,138,138
Improper/Missing Plates,1,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,2,2
Obstructed Plate,38,38
One Way Street,1,1
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,64,64
School Bus,1,1
Scooter In NYC,0,0
Seat Belt,45,45
Speeding,100,100
Spillback,1,1
TBTA Rule,0,0
Tints,95,95
TLC (Other),0,0
Truck Route,2,2
Uninspected,6,6
Uninsured,10,10
Unlicensed Operator,32,32
Unregistered,6,6
Unsafe Lane Change,1,1
Other Movers,62,62
033TOTAL Movers ,966,966
