105th Precinct,,
 January ,,
"","",""
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,63,63
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,271,271
Driving Too Slow,0,0
Equipment,11,11
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,1
Fail to yield Right of Way to Pedestrian,22,22
Failure to Signal,7,7
Following Too Closely,0,0
Improper Passing,2,2
Improper Taxi Pickup,0,0
Improper Turn,40,40
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,1,1
Obstructed Plate,0,0
One Way Street,2,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,37,37
School Bus,0,0
Scooter In NYC,0,0
Seat Belt,64,64
Speeding,106,106
Spillback,0,0
TBTA Rule,0,0
Tints,46,46
TLC (Other),0,0
Truck Route,10,10
Uninspected,2,2
Uninsured,9,9
Unlicensed Operator,66,66
Unregistered,5,5
Unsafe Lane Change,2,2
Other Movers,97,97
105TOTAL Movers ,864,864
