Staten Island,,
 January ,,
"","",""
Backing Unsafely,2,2
Bike Lane,0,0
Bus Lane,1,1
Cell Phone,178,178
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,1074,1074
Driving Too Slow,0,0
Equipment,130,130
Equipment (Other),1,1
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,92,92
Failure to Signal,295,295
Following Too Closely,4,4
Improper Passing,8,8
Improper Taxi Pickup,0,0
Improper Turn,77,77
Improper/Missing Plates,8,8
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,11,11
Obstructed Plate,64,64
One Way Street,16,16
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,303,303
School Bus,29,29
Scooter In NYC,0,0
Seat Belt,392,392
Speeding,706,706
Spillback,1,1
TBTA Rule,0,0
Tints,311,311
TLC (Other),0,0
Truck Route,0,0
Uninspected,43,43
Uninsured,154,154
Unlicensed Operator,388,388
Unregistered,52,52
Unsafe Lane Change,71,71
Other Movers,465,465
PBSITOTAL Movers ,4876,4876
