34th Precinct,,
February ,,
"","",""
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,25,47
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,247,513
Driving Too Slow,0,0
Equipment,30,59
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,25,68
Failure to Signal,5,7
Following Too Closely,1,1
Improper Passing,0,0
Improper Taxi Pickup,1,1
Improper Turn,65,144
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,3,5
Obstructed Plate,2,5
One Way Street,0,1
Overheight,0,1
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,37,74
School Bus,2,2
Scooter In NYC,0,0
Seat Belt,17,34
Speeding,27,75
Spillback,1,1
TBTA Rule,0,0
Tints,25,62
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,2
Uninsured,8,14
Unlicensed Operator,17,46
Unregistered,3,9
Unsafe Lane Change,0,1
Other Movers,20,33
034TOTAL Movers ,561,1208
