102nd Precinct,,
February ,,
"","",""
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,1,1
Cell Phone,86,148
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,104,217
Driving Too Slow,0,0
Equipment,41,90
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,91,111
Failure to Signal,4,13
Following Too Closely,0,0
Improper Passing,1,1
Improper Taxi Pickup,0,0
Improper Turn,68,142
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),1,1
Not Giving R of W to Veh.,0,3
Obstructed Plate,9,16
One Way Street,0,5
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,81,137
School Bus,1,3
Scooter In NYC,0,0
Seat Belt,118,214
Speeding,35,136
Spillback,0,0
TBTA Rule,0,0
Tints,12,30
TLC (Other),0,0
Truck Route,0,1
Uninspected,0,3
Uninsured,13,31
Unlicensed Operator,45,87
Unregistered,3,14
Unsafe Lane Change,0,1
Other Movers,57,113
102TOTAL Movers ,771,1519
