Brooklyn North,,
February ,,
"","",""
Backing Unsafely,5,15
Bike Lane,4,10
Bus Lane,1,2
Cell Phone,533,1063
Commercial Veh on Pkwy,3,8
Cruising For Passengers,0,0
Disobey Traffic Control Device,2583,5411
Driving Too Slow,1,1
Equipment,369,728
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,2,3
Fail to yield Right of Way to Pedestrian,452,931
Failure to Signal,237,457
Following Too Closely,3,5
Improper Passing,11,35
Improper Taxi Pickup,0,0
Improper Turn,489,1030
Improper/Missing Plates,5,13
Lamps and Other Equipment on Bicycle,1,1
Motorcycle (Other),5,7
Not Giving R of W to Veh.,20,46
Obstructed Plate,70,131
One Way Street,82,191
Overheight,0,0
Overlength,2,2
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,5
Red Light,1001,2061
School Bus,3,13
Scooter In NYC,0,0
Seat Belt,766,1639
Speeding,607,1310
Spillback,11,17
TBTA Rule,0,0
Tints,634,1400
TLC (Other),0,0
Truck Route,73,146
Uninspected,35,65
Uninsured,137,300
Unlicensed Operator,556,1198
Unregistered,121,254
Unsafe Lane Change,9,20
Other Movers,1088,2159
PBBNTOTAL Movers ,9921,20677
