Staten Island,,
Backing Unsafely,5,7
Bike Lane,0,0
Bus Lane,2,3
Cell Phone,228,406
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,1081,2155
Driving Too Slow,2,2
Equipment,127,257
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,2,2
Fail to yield Right of Way to Pedestrian,107,199
Failure to Signal,318,613
Following Too Closely,5,9
Improper Passing,20,28
Improper Taxi Pickup,0,0
Improper Turn,84,161
Improper/Missing Plates,10,18
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,15,26
Obstructed Plate,66,130
One Way Street,19,35
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,1,1
Red Light,300,603
School Bus,28,57
Scooter In NYC,0,0
Seat Belt,414,806
Speeding,676,1382
Spillback,0,1
TBTA Rule,0,0
Tints,317,628
TLC (Other),0,0
Truck Route,0,0
Uninspected,29,72
Uninsured,168,322
Unlicensed Operator,346,734
Unregistered,48,100
Unsafe Lane Change,47,118
Other Movers,558,1023
TOTAL Movers,5023,9899
