Midtown North Precinct,,
   March ,,
"","",""
Backing Unsafely,1,5
Bike Lane,2,4
Bus Lane,44,46
Cell Phone,44,208
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,444,1268
Driving Too Slow,0,0
Equipment,55,127
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,49,111
Failure to Signal,9,49
Following Too Closely,0,0
Improper Passing,2,2
Improper Taxi Pickup,0,1
Improper Turn,152,469
Improper/Missing Plates,1,11
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,1,1
Obstructed Plate,2,11
One Way Street,12,41
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,62,149
School Bus,0,2
Scooter In NYC,0,0
Seat Belt,86,192
Speeding,23,73
Spillback,9,13
TBTA Rule,0,0
Tints,52,126
TLC (Other),0,0
Truck Route,4,4
Uninspected,0,9
Uninsured,33,95
Unlicensed Operator,43,156
Unregistered,16,54
Unsafe Lane Change,4,10
Other Movers,101,300
018TOTAL Movers ,1251,3537
