"Moving Violations",,
"70th Precinct",,
"   March ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",1,5
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",78,199
"Commercial Veh on Pkwy",8,9
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",194,715
"Driving Too Slow",0,0
Equipment,55,147
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",153,648
"Failure to Signal",72,264
"Following Too Closely",0,1
"Improper Passing",7,33
"Improper Taxi Pickup",0,1
"Improper Turn",111,286
"Improper/Missing Plates",3,10
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",8,14
"Not Giving R of W to Veh.",8,16
"Obstructed Plate",16,44
"One Way Street",4,15
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",102,411
"School Bus",2,9
"Scooter In NYC",0,0
"Seat Belt",164,452
Speeding,68,253
Spillback,0,1
"TBTA Rule",0,0
Tints,37,121
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,4,13
Uninsured,59,174
"Unlicensed Operator",81,302
Unregistered,22,47
"Unsafe Lane Change",1,9
"Other Movers",156,453
"070TOTAL Movers ",1414,4652
"* All figures are preliminary and subject to change.",,
