94th Precinct,,
   March ,,
"","",""
Backing Unsafely,2,3
Bike Lane,0,4
Bus Lane,0,0
Cell Phone,38,111
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,222,601
Driving Too Slow,0,0
Equipment,16,69
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,6,35
Failure to Signal,8,41
Following Too Closely,0,0
Improper Passing,6,10
Improper Taxi Pickup,0,0
Improper Turn,50,91
Improper/Missing Plates,0,2
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,1,2
Obstructed Plate,5,17
One Way Street,6,12
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,75,191
School Bus,0,2
Scooter In NYC,0,0
Seat Belt,35,168
Speeding,94,263
Spillback,0,0
TBTA Rule,0,0
Tints,48,131
TLC (Other),0,0
Truck Route,24,67
Uninspected,5,29
Uninsured,11,30
Unlicensed Operator,22,81
Unregistered,7,37
Unsafe Lane Change,0,2
Other Movers,50,152
094TOTAL Movers ,731,2151
