"Moving Violations",,
"Housing Bureau",,
"   March ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,1
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",0,2
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",4,20
"Driving Too Slow",0,0
Equipment,8,20
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",0,0
"Failure to Signal",3,6
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",1,1
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,1
"Not Giving R of W to Veh.",1,2
"Obstructed Plate",2,4
"One Way Street",1,1
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",3,4
"School Bus",0,1
"Scooter In NYC",0,0
"Seat Belt",1,1
Speeding,0,0
Spillback,0,0
"TBTA Rule",0,0
Tints,4,11
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,0
Uninsured,1,2
"Unlicensed Operator",4,12
Unregistered,0,1
"Unsafe Lane Change",0,1
"Other Movers",1,3
"HOUSINGTOTAL Movers ",34,95
"* All figures are preliminary and subject to change.",,
