Queens South,,
   March ,,
"","",""
Backing Unsafely,4,25
Bike Lane,1,2
Bus Lane,3,6
Cell Phone,466,1173
Commercial Veh on Pkwy,9,16
Cruising For Passengers,1,1
Disobey Traffic Control Device,1708,4857
Driving Too Slow,1,1
Equipment,261,758
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,4
Fail to yield Right of Way to Pedestrian,373,1005
Failure to Signal,218,770
Following Too Closely,2,8
Improper Passing,24,69
Improper Taxi Pickup,17,20
Improper Turn,787,2097
Improper/Missing Plates,8,19
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),3,4
Not Giving R of W to Veh.,6,24
Obstructed Plate,42,158
One Way Street,18,69
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,9
Red Light,470,1443
School Bus,6,18
Scooter In NYC,0,0
Seat Belt,431,1248
Speeding,774,2026
Spillback,6,14
TBTA Rule,0,0
Tints,348,1081
TLC (Other),0,0
Truck Route,21,73
Uninspected,25,145
Uninsured,195,588
Unlicensed Operator,529,1659
Unregistered,86,277
Unsafe Lane Change,14,31
Other Movers,717,1817
PBQSTOTAL Movers ,7576,21517
