"Moving Violations",,
"13th Precinct",,
"   April ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",1,3
"Bike Lane",0,4
"Bus Lane",3,19
"Cell Phone",12,59
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",1,3
"Disobey Traffic Control Device",207,905
"Driving Too Slow",0,0
Equipment,9,18
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",31,207
"Failure to Signal",7,48
"Following Too Closely",0,0
"Improper Passing",1,2
"Improper Taxi Pickup",11,56
"Improper Turn",193,764
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,1
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",1,6
"One Way Street",1,8
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",87,303
"School Bus",3,3
"Scooter In NYC",0,0
"Seat Belt",5,26
Speeding,8,35
Spillback,4,16
"TBTA Rule",0,0
Tints,11,66
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,0
Uninsured,13,63
"Unlicensed Operator",15,57
Unregistered,0,4
"Unsafe Lane Change",1,6
"Other Movers",27,144
"013TOTAL Movers ",652,2828
"* All figures are preliminary and subject to change.",,
