111th Precinct,,
   April ,,
"","",""
Backing Unsafely,0,0
Bike Lane,2,2
Bus Lane,0,0
Cell Phone,136,564
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,103,445
Driving Too Slow,0,0
Equipment,11,49
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,59,420
Failure to Signal,6,29
Following Too Closely,0,2
Improper Passing,1,2
Improper Taxi Pickup,0,0
Improper Turn,7,37
Improper/Missing Plates,1,2
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),6,6
Not Giving R of W to Veh.,0,0
Obstructed Plate,2,19
One Way Street,1,8
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,19,89
School Bus,7,7
Scooter In NYC,0,0
Seat Belt,162,781
Speeding,156,480
Spillback,0,0
TBTA Rule,0,0
Tints,22,79
TLC (Other),0,0
Truck Route,1,9
Uninspected,7,27
Uninsured,4,28
Unlicensed Operator,48,223
Unregistered,4,8
Unsafe Lane Change,2,6
Other Movers,187,836
111TOTAL Movers ,954,4158
