"Moving Violations",,
"Brooklyn South",,
"   April ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",10,46
"Bike Lane",7,22
"Bus Lane",17,29
"Cell Phone",753,3131
"Commercial Veh on Pkwy",29,74
"Cruising For Passengers",0,1
"Disobey Traffic Control Device",2119,8634
"Driving Too Slow",0,2
Equipment,310,1035
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,5
"Fail to yield Right of Way to Pedestrian",784,3544
"Failure to Signal",251,1204
"Following Too Closely",4,12
"Improper Passing",53,168
"Improper Taxi Pickup",4,6
"Improper Turn",497,2203
"Improper/Missing Plates",22,61
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",44,71
"Not Giving R of W to Veh.",16,91
"Obstructed Plate",124,434
"One Way Street",40,145
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",3,4
"Red Light",912,4007
"School Bus",107,166
"Scooter In NYC",0,2
"Seat Belt",1085,4183
Speeding,929,3448
Spillback,21,38
"TBTA Rule",0,0
Tints,1047,3658
"TLC (Other)",0,0
"Truck Route",29,92
Uninspected,65,199
Uninsured,212,850
"Unlicensed Operator",584,2530
Unregistered,141,480
"Unsafe Lane Change",26,114
"Other Movers",1090,4093
"PBBSTOTAL Movers ",11335,44782
"* All figures are preliminary and subject to change.",,
