"Moving Violations",,
"Midtown South Precinct",,
"     May ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,5
"Bike Lane",0,1
"Bus Lane",17,18
"Cell Phone",81,263
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",113,620
"Driving Too Slow",0,0
Equipment,14,77
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",313,1184
"Failure to Signal",25,115
"Following Too Closely",0,3
"Improper Passing",6,11
"Improper Taxi Pickup",1,8
"Improper Turn",252,1687
"Improper/Missing Plates",1,2
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",9,18
"Not Giving R of W to Veh.",0,10
"Obstructed Plate",23,108
"One Way Street",11,126
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",85,350
"School Bus",2,9
"Scooter In NYC",0,0
"Seat Belt",113,326
Speeding,15,129
Spillback,1,5
"TBTA Rule",0,0
Tints,58,238
"TLC (Other)",1,1
"Truck Route",0,0
Uninspected,1,4
Uninsured,3,12
"Unlicensed Operator",8,45
Unregistered,5,12
"Unsafe Lane Change",11,52
"Other Movers",355,1409
"014TOTAL Movers ",1524,6849
"* All figures are preliminary and subject to change.",,
