"Moving Violations",,
"71st Precinct",,
"     May ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",3,8
"Bike Lane",0,0
"Bus Lane",3,18
"Cell Phone",91,505
"Commercial Veh on Pkwy",0,15
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",195,1045
"Driving Too Slow",0,0
Equipment,13,96
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",85,318
"Failure to Signal",19,106
"Following Too Closely",0,2
"Improper Passing",1,13
"Improper Taxi Pickup",0,2
"Improper Turn",44,274
"Improper/Missing Plates",0,4
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",8,11
"Not Giving R of W to Veh.",1,6
"Obstructed Plate",5,37
"One Way Street",4,18
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",112,700
"School Bus",7,31
"Scooter In NYC",0,0
"Seat Belt",197,800
Speeding,81,322
Spillback,3,9
"TBTA Rule",0,0
Tints,4,91
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,7,66
Uninsured,27,141
"Unlicensed Operator",76,346
Unregistered,21,103
"Unsafe Lane Change",0,5
"Other Movers",90,485
"071TOTAL Movers ",1097,5577
"* All figures are preliminary and subject to change.",,
