123rd Precinct,,
     May ,,
"","",""
Backing Unsafely,0,5
Bike Lane,0,0
Bus Lane,3,3
Cell Phone,48,236
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,200,1000
Driving Too Slow,0,1
Equipment,15,80
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,15,77
Failure to Signal,42,287
Following Too Closely,3,7
Improper Passing,1,6
Improper Taxi Pickup,0,0
Improper Turn,16,63
Improper/Missing Plates,0,15
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,5,21
Obstructed Plate,5,58
One Way Street,5,16
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,47,282
School Bus,3,16
Scooter In NYC,0,0
Seat Belt,149,620
Speeding,223,1166
Spillback,0,0
TBTA Rule,0,0
Tints,33,314
TLC (Other),0,0
Truck Route,0,0
Uninspected,13,80
Uninsured,14,137
Unlicensed Operator,70,337
Unregistered,15,65
Unsafe Lane Change,8,41
Other Movers,152,644
123TOTAL Movers ,1085,5579
