Patrol Bureau,,
Backing Unsafely,65,378
Bike Lane,49,171
Bus Lane,364,662
Cell Phone,4349,20834
Commercial Veh on Pkwy,18,128
Cruising For Passengers,0,6
Disobey Traffic Control Device,14778,78994
Driving Too Slow,1,16
Equipment,2298,11086
Equipment (Other),8,14
Excessive Noise,0,2
Fail to Keep Right,10,57
Fail to yield Right of Way to Pedestrian,4857,24245
Failure to Signal,1500,8286
Following Too Closely,21,120
Improper Passing,192,865
Improper Taxi Pickup,39,263
Improper Turn,7037,35155
Improper/Missing Plates,133,482
Lamps and Other Equipment on Bicycle,11,40
Motorcycle (Other),125,338
Not Giving R of W to Veh.,103,602
Obstructed Plate,609,3043
One Way Street,436,1956
Overheight,0,1
Overlength,4,25
Overweight,0,0
Overwidth,0,0
Pavement Markings,18,90
Red Light,6094,30017
School Bus,221,1132
Scooter In NYC,2,5
Seat Belt,8926,30848
Speeding,5571,30656
Spillback,82,533
TBTA Rule,0,0
Tints,3259,20726
TLC (Other),1,1
Truck Route,173,948
Uninspected,276,1392
Uninsured,1106,6054
Unlicensed Operator,4100,20062
Unregistered,918,3885
Unsafe Lane Change,292,1344
Other Movers,6975,32501
TOTAL Movers,75021,367963
