48th Precinct,,
    June ,,
"","",""
Backing Unsafely,2,11
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,51,403
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,109,699
Driving Too Slow,0,0
Equipment,15,204
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,7,245
Failure to Signal,21,139
Following Too Closely,0,2
Improper Passing,0,10
Improper Taxi Pickup,0,1
Improper Turn,169,919
Improper/Missing Plates,1,6
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,2
Not Giving R of W to Veh.,5,15
Obstructed Plate,5,26
One Way Street,4,22
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,42,326
School Bus,0,13
Scooter In NYC,0,0
Seat Belt,52,310
Speeding,86,812
Spillback,0,5
TBTA Rule,0,0
Tints,23,339
TLC (Other),0,0
Truck Route,0,14
Uninspected,0,3
Uninsured,12,93
Unlicensed Operator,53,440
Unregistered,7,58
Unsafe Lane Change,1,4
Other Movers,43,362
048TOTAL Movers ,708,5483
