71st Precinct,,
    June ,,
"","",""
Backing Unsafely,2,10
Bike Lane,0,0
Bus Lane,3,21
Cell Phone,72,577
Commercial Veh on Pkwy,0,15
Cruising For Passengers,0,0
Disobey Traffic Control Device,170,1215
Driving Too Slow,0,0
Equipment,28,124
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,61,379
Failure to Signal,19,125
Following Too Closely,0,2
Improper Passing,2,15
Improper Taxi Pickup,0,2
Improper Turn,32,306
Improper/Missing Plates,1,5
Lamps and Other Equipment on Bicycle,1,1
Motorcycle (Other),5,16
Not Giving R of W to Veh.,2,8
Obstructed Plate,9,46
One Way Street,4,22
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,107,807
School Bus,2,33
Scooter In NYC,0,0
Seat Belt,134,934
Speeding,62,384
Spillback,0,9
TBTA Rule,0,0
Tints,14,105
TLC (Other),0,0
Truck Route,0,0
Uninspected,13,79
Uninsured,18,159
Unlicensed Operator,62,408
Unregistered,11,114
Unsafe Lane Change,0,5
Other Movers,99,584
071TOTAL Movers ,933,6510
