"Moving Violations",,
"77th Precinct",,
"    June ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,3
"Bike Lane",1,2
"Bus Lane",3,28
"Cell Phone",53,435
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",198,1481
"Driving Too Slow",0,0
Equipment,13,163
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",66,357
"Failure to Signal",8,74
"Following Too Closely",0,0
"Improper Passing",2,11
"Improper Taxi Pickup",0,2
"Improper Turn",51,317
"Improper/Missing Plates",0,10
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,2
"Not Giving R of W to Veh.",0,9
"Obstructed Plate",11,72
"One Way Street",5,25
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",94,704
"School Bus",0,7
"Scooter In NYC",0,0
"Seat Belt",88,434
Speeding,44,654
Spillback,1,16
"TBTA Rule",0,0
Tints,35,589
"TLC (Other)",0,0
"Truck Route",2,5
Uninspected,3,11
Uninsured,9,70
"Unlicensed Operator",43,358
Unregistered,9,79
"Unsafe Lane Change",0,7
"Other Movers",105,891
"077TOTAL Movers ",844,6816
"* All figures are preliminary and subject to change.",,
