"Moving Violations",,
"81st Precinct",,
"    June ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,4
"Bike Lane",5,5
"Bus Lane",0,0
"Cell Phone",72,360
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",132,843
"Driving Too Slow",0,0
Equipment,84,694
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",40,183
"Failure to Signal",16,111
"Following Too Closely",0,0
"Improper Passing",0,7
"Improper Taxi Pickup",0,0
"Improper Turn",6,35
"Improper/Missing Plates",0,2
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",1,2
"Obstructed Plate",3,24
"One Way Street",2,10
Overheight,0,0
Overlength,0,0
Overweight,1,1
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",42,240
"School Bus",0,1
"Scooter In NYC",0,0
"Seat Belt",165,665
Speeding,2,176
Spillback,1,3
"TBTA Rule",0,0
Tints,9,134
"TLC (Other)",0,0
"Truck Route",0,23
Uninspected,1,18
Uninsured,16,142
"Unlicensed Operator",47,311
Unregistered,6,58
"Unsafe Lane Change",1,3
"Other Movers",77,589
"081TOTAL Movers ",729,4646
"* All figures are preliminary and subject to change.",,
