"Moving Violations",,
"Housing Bureau",,
"    June ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,3
"Bike Lane",0,0
"Bus Lane",0,16
"Cell Phone",0,2
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",5,84
"Driving Too Slow",0,0
Equipment,4,44
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",0,0
"Failure to Signal",1,13
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,5
"Improper Turn",0,21
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,1
"Not Giving R of W to Veh.",1,3
"Obstructed Plate",1,10
"One Way Street",0,3
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",4,13
"School Bus",0,1
"Scooter In NYC",0,0
"Seat Belt",1,31
Speeding,0,4
Spillback,0,6
"TBTA Rule",0,0
Tints,2,115
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,1
Uninsured,1,10
"Unlicensed Operator",7,24
Unregistered,1,6
"Unsafe Lane Change",0,1
"Other Movers",1,18
"HOUSINGTOTAL Movers ",29,436
"* All figures are preliminary and subject to change.",,
