Queens North,,
Backing Unsafely,3,26
Bike Lane,7,22
Bus Lane,38,84
Cell Phone,650,3647
Commercial Veh on Pkwy,0,4
Cruising For Passengers,0,0
Disobey Traffic Control Device,1800,11777
Driving Too Slow,1,4
Equipment,212,1206
Equipment (Other),0,3
Excessive Noise,0,1
Fail to Keep Right,5,22
Fail to yield Right of Way to Pedestrian,620,4547
Failure to Signal,86,579
Following Too Closely,3,12
Improper Passing,36,151
Improper Taxi Pickup,0,1
Improper Turn,362,2456
Improper/Missing Plates,7,41
Lamps and Other Equipment on Bicycle,1,2
Motorcycle (Other),23,66
Not Giving R of W to Veh.,13,75
Obstructed Plate,59,361
One Way Street,27,126
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,2
Red Light,515,3701
School Bus,7,109
Scooter In NYC,0,0
Seat Belt,1212,6236
Speeding,806,5446
Spillback,2,47
TBTA Rule,0,0
Tints,333,2677
TLC (Other),0,0
Truck Route,13,118
Uninspected,24,176
Uninsured,78,472
Unlicensed Operator,555,3550
Unregistered,66,390
Unsafe Lane Change,6,43
Other Movers,934,5081
TOTAL Movers,8504,53261
