"Moving Violations",,
"Staten Island",,
"    June ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",3,24
"Bike Lane",2,2
"Bus Lane",15,36
"Cell Phone",258,1465
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",990,6157
"Driving Too Slow",0,2
Equipment,109,700
"Equipment (Other)",0,2
"Excessive Noise",0,0
"Fail to Keep Right",1,3
"Fail to yield Right of Way to Pedestrian",129,808
"Failure to Signal",227,1594
"Following Too Closely",2,25
"Improper Passing",8,73
"Improper Taxi Pickup",0,0
"Improper Turn",86,523
"Improper/Missing Plates",6,46
"Lamps and Other Equipment on Bicycle",1,2
"Motorcycle (Other)",2,7
"Not Giving R of W to Veh.",9,85
"Obstructed Plate",78,398
"One Way Street",19,112
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,4
"Red Light",278,1806
"School Bus",27,220
"Scooter In NYC",0,0
"Seat Belt",612,3132
Speeding,629,4378
Spillback,4,10
"TBTA Rule",0,0
Tints,280,1663
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,36,208
Uninsured,129,809
"Unlicensed Operator",385,2334
Unregistered,66,361
"Unsafe Lane Change",42,264
"Other Movers",556,3304
"PBSITOTAL Movers ",4989,30557
"* All figures are preliminary and subject to change.",,
