"Moving Violations",,
"23rd Precinct",,
"    July ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,6
"Bike Lane",0,0
"Bus Lane",0,41
"Cell Phone",50,413
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",127,966
"Driving Too Slow",0,0
Equipment,50,276
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",62,554
"Failure to Signal",4,13
"Following Too Closely",0,0
"Improper Passing",9,26
"Improper Taxi Pickup",0,1
"Improper Turn",96,781
"Improper/Missing Plates",1,9
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",3,3
"Not Giving R of W to Veh.",0,4
"Obstructed Plate",1,30
"One Way Street",6,29
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",130,721
"School Bus",0,16
"Scooter In NYC",0,0
"Seat Belt",56,336
Speeding,58,348
Spillback,0,0
"TBTA Rule",0,0
Tints,13,148
"TLC (Other)",0,0
"Truck Route",6,53
Uninspected,1,4
Uninsured,2,13
"Unlicensed Operator",19,78
Unregistered,0,11
"Unsafe Lane Change",1,11
"Other Movers",71,307
"023TOTAL Movers ",766,5198
"* All figures are preliminary and subject to change.",,
