"Moving Violations",,
"32nd Precinct",,
"    July ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",2,6
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",13,100
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",259,2148
"Driving Too Slow",0,0
Equipment,17,115
"Equipment (Other)",0,2
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",20,440
"Failure to Signal",8,49
"Following Too Closely",0,1
"Improper Passing",1,6
"Improper Taxi Pickup",1,3
"Improper Turn",105,651
"Improper/Missing Plates",0,5
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",1,6
"Obstructed Plate",16,88
"One Way Street",0,5
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",64,434
"School Bus",1,17
"Scooter In NYC",0,0
"Seat Belt",12,178
Speeding,77,456
Spillback,1,23
"TBTA Rule",0,0
Tints,67,603
"TLC (Other)",0,0
"Truck Route",0,1
Uninspected,6,33
Uninsured,12,84
"Unlicensed Operator",51,311
Unregistered,16,89
"Unsafe Lane Change",1,3
"Other Movers",39,191
"032TOTAL Movers ",790,6049
"* All figures are preliminary and subject to change.",,
