"Moving Violations",,
Citywide,,
"    July ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",64,598
"Bike Lane",51,308
"Bus Lane",387,6156
"Cell Phone",4005,31430
"Commercial Veh on Pkwy",280,1928
"Cruising For Passengers",4,10
"Disobey Traffic Control Device",16356,129170
"Driving Too Slow",1,28
Equipment,2654,23289
"Equipment (Other)",11,38
"Excessive Noise",0,3
"Fail to Keep Right",8,84
"Fail to yield Right of Way to Pedestrian",3767,33130
"Failure to Signal",1590,13846
"Following Too Closely",89,589
"Improper Passing",226,1552
"Improper Taxi Pickup",235,2371
"Improper Turn",7381,55429
"Improper/Missing Plates",107,896
"Lamps and Other Equipment on Bicycle",9,68
"Motorcycle (Other)",204,1343
"Not Giving R of W to Veh.",141,992
"Obstructed Plate",710,5462
"One Way Street",568,3727
Overheight,3,22
Overlength,1,89
Overweight,14,365
Overwidth,0,32
"Pavement Markings",18,170
"Red Light",6033,43348
"School Bus",38,1720
"Scooter In NYC",1,8
"Seat Belt",6796,52673
Speeding,13053,92814
Spillback,294,4670
"TBTA Rule",0,0
Tints,4258,42897
"TLC (Other)",0,2
"Truck Route",173,1579
Uninspected,318,2833
Uninsured,1152,9558
"Unlicensed Operator",4387,32367
Unregistered,1014,6927
"Unsafe Lane Change",390,3193
"Other Movers",7382,57135
"CitywideTOTAL Movers ",84173,664849
"* All figures are preliminary and subject to change.",,
