Offense  Description,"",""
Backing Unsafely,1,10
Bike Lane,7,57
Bus Lane,0,85
Cell Phone,44,538
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,167,2944
Driving Too Slow,0,0
Equipment,74,461
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,15,361
Failure to Signal,20,110
Following Too Closely,0,0
Improper Passing,0,10
Improper Taxi Pickup,0,8
Improper Turn,127,1280
Improper/Missing Plates,0,46
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,2
Not Giving R of W to Veh.,1,5
Obstructed Plate,10,34
One Way Street,24,152
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,4
Red Light,110,853
School Bus,0,4
Scooter In NYC,0,0
Seat Belt,92,756
Speeding,30,240
Spillback,0,36
TBTA Rule,0,0
Tints,41,369
TLC (Other),0,0
Truck Route,0,6
Uninspected,0,20
Uninsured,8,229
Unlicensed Operator,38,418
Unregistered,2,98
Unsafe Lane Change,2,34
Other Movers,132,1166
TOTAL Movers,945,10338
Midtown North Precinct,,
