"Offense  Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,5
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",20,234
"Commercial Veh on Pkwy",0,2
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",216,1837
"Driving Too Slow",0,0
Equipment,35,379
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",2,4
"Fail to yield Right of Way to Pedestrian",42,459
"Failure to Signal",8,141
"Following Too Closely",1,5
"Improper Passing",0,6
"Improper Taxi Pickup",0,0
"Improper Turn",21,397
"Improper/Missing Plates",1,28
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,7
"Not Giving R of W to Veh.",0,14
"Obstructed Plate",12,120
"One Way Street",3,31
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",51,386
"School Bus",0,19
"Scooter In NYC",0,0
"Seat Belt",59,717
Speeding,50,761
Spillback,0,0
"TBTA Rule",0,0
Tints,195,1990
"TLC (Other)",0,0
"Truck Route",0,1
Uninspected,4,28
Uninsured,25,154
"Unlicensed Operator",53,430
Unregistered,8,75
"Unsafe Lane Change",2,9
"Other Movers",34,380
"TOTAL Movers",842,8621
"Moving Violations",,
"60th Precinct",,
September,,
"* All figures are preliminary and subject to change.",,
