Offense  Description,"",""
Backing Unsafely,1,4
Bike Lane,0,0
Bus Lane,0,16
Cell Phone,0,2
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,2,103
Driving Too Slow,0,0
Equipment,6,67
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,1
Failure to Signal,0,14
Following Too Closely,0,1
Improper Passing,1,3
Improper Taxi Pickup,0,5
Improper Turn,0,23
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,4
Obstructed Plate,0,17
One Way Street,0,4
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,0,20
School Bus,0,2
Scooter In NYC,0,0
Seat Belt,1,35
Speeding,0,12
Spillback,0,8
TBTA Rule,0,0
Tints,0,120
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,1
Uninsured,0,14
Unlicensed Operator,1,32
Unregistered,0,13
Unsafe Lane Change,0,3
Other Movers,2,23
TOTAL Movers,14,551
Housing Bureau,,
