"Moving Violations",,
"101st Precinct",,
September,,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",1,5
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",20,343
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",89,882
"Driving Too Slow",0,0
Equipment,8,178
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",1,124
"Failure to Signal",3,73
"Following Too Closely",0,1
"Improper Passing",3,18
"Improper Taxi Pickup",0,0
"Improper Turn",24,308
"Improper/Missing Plates",0,3
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,1
"Obstructed Plate",4,32
"One Way Street",0,18
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",29,408
"School Bus",0,2
"Scooter In NYC",0,0
"Seat Belt",8,122
Speeding,68,662
Spillback,0,1
"TBTA Rule",0,0
Tints,20,237
"TLC (Other)",0,0
"Truck Route",1,3
Uninspected,4,32
Uninsured,10,105
"Unlicensed Operator",49,473
Unregistered,6,81
"Unsafe Lane Change",0,0
"Other Movers",56,548
"101TOTAL Movers ",404,4663
"* All figures are preliminary and subject to change.",,
