5th Precinct,,
October  ,,
"","",""
Backing Unsafely,3,22
Bike Lane,1,20
Bus Lane,9,24
Cell Phone,20,212
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,176,1897
Driving Too Slow,0,0
Equipment,35,339
Equipment (Other),1,6
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,59,491
Failure to Signal,5,61
Following Too Closely,1,10
Improper Passing,15,83
Improper Taxi Pickup,1,18
Improper Turn,92,863
Improper/Missing Plates,1,4
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),3,46
Not Giving R of W to Veh.,4,24
Obstructed Plate,21,71
One Way Street,8,61
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,79,723
School Bus,0,6
Scooter In NYC,0,0
Seat Belt,71,572
Speeding,41,620
Spillback,6,52
TBTA Rule,0,0
Tints,2,38
TLC (Other),0,0
Truck Route,0,7
Uninspected,3,48
Uninsured,14,85
Unlicensed Operator,18,218
Unregistered,7,35
Unsafe Lane Change,5,46
Other Movers,136,745
005TOTAL Movers ,837,7450
