"Moving Violations",,
"17th Precinct",,
"October  ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,3
"Bike Lane",0,4
"Bus Lane",4,27
"Cell Phone",18,151
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",143,737
"Driving Too Slow",0,0
Equipment,11,204
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",88,649
"Failure to Signal",42,521
"Following Too Closely",0,0
"Improper Passing",0,3
"Improper Taxi Pickup",1,16
"Improper Turn",307,1986
"Improper/Missing Plates",2,10
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",3,34
"Not Giving R of W to Veh.",0,8
"Obstructed Plate",2,21
"One Way Street",6,105
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",67,673
"School Bus",1,10
"Scooter In NYC",0,0
"Seat Belt",9,200
Speeding,62,464
Spillback,6,26
"TBTA Rule",0,0
Tints,7,110
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,1
Uninsured,6,51
"Unlicensed Operator",9,127
Unregistered,0,28
"Unsafe Lane Change",55,344
"Other Movers",30,431
"017TOTAL Movers ",879,6944
"* All figures are preliminary and subject to change.",,
