Midtown North Precinct,,
October  ,,
"","",""
Backing Unsafely,1,11
Bike Lane,6,63
Bus Lane,8,93
Cell Phone,49,587
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,158,3102
Driving Too Slow,0,0
Equipment,76,537
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,52,413
Failure to Signal,21,131
Following Too Closely,0,0
Improper Passing,1,11
Improper Taxi Pickup,3,11
Improper Turn,137,1417
Improper/Missing Plates,10,56
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),1,3
Not Giving R of W to Veh.,1,6
Obstructed Plate,6,40
One Way Street,8,160
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,4
Red Light,62,915
School Bus,2,6
Scooter In NYC,0,0
Seat Belt,107,863
Speeding,0,240
Spillback,2,38
TBTA Rule,0,0
Tints,17,386
TLC (Other),0,0
Truck Route,0,6
Uninspected,1,21
Uninsured,5,234
Unlicensed Operator,38,456
Unregistered,2,100
Unsafe Lane Change,6,40
Other Movers,145,1311
018TOTAL Movers ,925,11263
