"Moving Violations",,
"23rd Precinct",,
"October  ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",2,11
"Bike Lane",1,1
"Bus Lane",4,45
"Cell Phone",81,674
"Commercial Veh on Pkwy",1,1
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",197,1500
"Driving Too Slow",0,0
Equipment,20,410
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",71,769
"Failure to Signal",0,20
"Following Too Closely",0,0
"Improper Passing",3,35
"Improper Taxi Pickup",1,2
"Improper Turn",122,1045
"Improper/Missing Plates",0,9
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",1,5
"Not Giving R of W to Veh.",0,4
"Obstructed Plate",2,43
"One Way Street",3,48
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",105,1066
"School Bus",2,18
"Scooter In NYC",0,0
"Seat Belt",62,523
Speeding,40,501
Spillback,0,0
"TBTA Rule",0,0
Tints,13,187
"TLC (Other)",0,0
"Truck Route",22,90
Uninspected,2,10
Uninsured,2,16
"Unlicensed Operator",17,119
Unregistered,0,13
"Unsafe Lane Change",3,16
"Other Movers",43,445
"023TOTAL Movers ",820,7626
"* All figures are preliminary and subject to change.",,
