72nd Precinct,,
October  ,,
"","",""
Backing Unsafely,0,10
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,56,524
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,1
Disobey Traffic Control Device,268,2079
Driving Too Slow,0,0
Equipment,11,217
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,54,606
Failure to Signal,4,62
Following Too Closely,1,1
Improper Passing,0,25
Improper Taxi Pickup,0,0
Improper Turn,36,514
Improper/Missing Plates,0,2
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),0,8
Not Giving R of W to Veh.,4,20
Obstructed Plate,1,37
One Way Street,2,28
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,2
Red Light,135,1187
School Bus,25,93
Scooter In NYC,0,2
Seat Belt,134,1337
Speeding,42,567
Spillback,0,10
TBTA Rule,0,0
Tints,5,102
TLC (Other),0,0
Truck Route,2,45
Uninspected,2,31
Uninsured,4,23
Unlicensed Operator,51,493
Unregistered,7,58
Unsafe Lane Change,0,22
Other Movers,110,930
072TOTAL Movers ,954,9038
