Transportation Bureau,,
October  ,,
"","",""
Backing Unsafely,4,117
Bike Lane,2,44
Bus Lane,173,5405
Cell Phone,288,3768
Commercial Veh on Pkwy,243,2519
Cruising For Passengers,0,1
Disobey Traffic Control Device,3205,30040
Driving Too Slow,4,14
Equipment,655,10280
Equipment (Other),3,23
Excessive Noise,0,1
Fail to Keep Right,0,2
Fail to yield Right of Way to Pedestrian,93,1663
Failure to Signal,364,3404
Following Too Closely,67,606
Improper Passing,52,430
Improper Taxi Pickup,234,2673
Improper Turn,1564,11407
Improper/Missing Plates,16,251
Lamps and Other Equipment on Bicycle,1,7
Motorcycle (Other),64,884
Not Giving R of W to Veh.,17,262
Obstructed Plate,124,1546
One Way Street,170,1167
Overheight,4,29
Overlength,4,105
Overweight,11,555
Overwidth,0,66
Pavement Markings,10,74
Red Light,237,2094
School Bus,5,457
Scooter In NYC,0,0
Seat Belt,606,11401
Speeding,7681,71894
Spillback,898,5450
TBTA Rule,0,1
Tints,1315,21015
TLC (Other),0,1
Truck Route,31,511
Uninspected,95,1201
Uninsured,151,1819
Unlicensed Operator,652,6567
Unregistered,229,2013
Unsafe Lane Change,180,1798
Other Movers,1531,16048
TCDTOTAL Movers ,20983,219613
