Midtown North Precinct,,
November ,,
"","",""
Backing Unsafely,2,13
Bike Lane,3,66
Bus Lane,8,101
Cell Phone,36,623
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,222,3324
Driving Too Slow,0,0
Equipment,37,574
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,16,429
Failure to Signal,15,146
Following Too Closely,0,0
Improper Passing,1,12
Improper Taxi Pickup,0,11
Improper Turn,145,1562
Improper/Missing Plates,2,58
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,3
Not Giving R of W to Veh.,0,6
Obstructed Plate,5,45
One Way Street,9,169
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,4
Red Light,37,952
School Bus,1,7
Scooter In NYC,0,0
Seat Belt,79,942
Speeding,9,249
Spillback,1,39
TBTA Rule,0,0
Tints,35,421
TLC (Other),0,0
Truck Route,0,6
Uninspected,2,23
Uninsured,17,251
Unlicensed Operator,26,482
Unregistered,1,101
Unsafe Lane Change,7,47
Other Movers,98,1410
018TOTAL Movers ,814,12078
