"Moving Violations",,
"25th Precinct",,
"November ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",2,25
"Bike Lane",0,1
"Bus Lane",20,59
"Cell Phone",25,331
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",92,1486
"Driving Too Slow",0,0
Equipment,9,294
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",173,1514
"Failure to Signal",5,66
"Following Too Closely",0,0
"Improper Passing",0,5
"Improper Taxi Pickup",0,10
"Improper Turn",106,2024
"Improper/Missing Plates",1,12
"Lamps and Other Equipment on Bicycle",0,12
"Motorcycle (Other)",1,19
"Not Giving R of W to Veh.",0,6
"Obstructed Plate",10,141
"One Way Street",2,62
Overheight,0,0
Overlength,2,3
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",102,1038
"School Bus",0,28
"Scooter In NYC",0,0
"Seat Belt",173,1508
Speeding,124,720
Spillback,1,5
"TBTA Rule",0,0
Tints,18,471
"TLC (Other)",0,0
"Truck Route",1,7
Uninspected,1,13
Uninsured,1,39
"Unlicensed Operator",27,319
Unregistered,5,95
"Unsafe Lane Change",3,12
"Other Movers",156,2078
"025TOTAL Movers ",1060,12404
"* All figures are preliminary and subject to change.",,
