
"75th Precinct",,
"   April ",,
"","",""
"Backing Unsafely",2,7
"Bike Lane",0,1
"Bus Lane",0,0
"Cell Phone",149,452
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",403,1265
"Driving Too Slow",2,5
Equipment,51,113
"Equipment (Other)",0,0
"Excessive Noise",1,1
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",156,510
"Failure to Signal",31,108
"Following Too Closely",0,1
"Improper Passing",6,12
"Improper Taxi Pickup",0,0
"Improper Turn",231,598
"Improper/Missing Plates",3,9
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",3,5
"Not Giving R of W to Veh.",7,33
"Obstructed Plate",23,55
"One Way Street",17,23
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",5,13
"Red Light",213,781
"School Bus",7,9
"Scooter In NYC",0,0
"Seat Belt",110,384
Speeding,256,811
Spillback,1,6
"TBTA Rule",0,0
Tints,105,214
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,12,35
Uninsured,22,72
"Unlicensed Operator",126,445
Unregistered,31,100
"Unsafe Lane Change",3,7
"Other Movers",209,601
"075 TOTAL Movers ",2185,6676
