75th Precinct,,
November ,,
"","",""
Backing Unsafely,0,8
Bike Lane,0,1
Bus Lane,0,0
Cell Phone,33,864
Commercial Veh on Pkwy,0,2
Cruising For Passengers,0,0
Disobey Traffic Control Device,277,2735
Driving Too Slow,0,5
Equipment,21,241
Equipment (Other),0,0
Excessive Noise,0,1
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,102,1236
Failure to Signal,7,166
Following Too Closely,1,3
Improper Passing,1,28
Improper Taxi Pickup,0,0
Improper Turn,140,1464
Improper/Missing Plates,1,23
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),1,15
Not Giving R of W to Veh.,0,46
Obstructed Plate,4,96
One Way Street,3,54
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,1,29
Red Light,185,1994
School Bus,0,16
Scooter In NYC,0,0
Seat Belt,75,1396
Speeding,158,1756
Spillback,2,9
TBTA Rule,0,0
Tints,11,304
TLC (Other),0,0
Truck Route,0,0
Uninspected,4,78
Uninsured,10,154
Unlicensed Operator,76,1073
Unregistered,10,194
Unsafe Lane Change,2,14
Other Movers,105,1459
075TOTAL Movers ,1230,15465
